Market Cap Rank,S.No.,Name,Ticker,Industry,YFinance Ticker,Screener URL,Market Cap As Of,Market Cap Source,Market Cap Cr
38,198,Adani Green,ADANIGREEN,Power,ADANIGREEN.NS,https://www.screener.in/company/ADANIGREEN/consolidated/,2026-07-16,Saved Screener.in FII scan,245207.0
39,179,Tata Steel,TATASTEEL,Metals,TATASTEEL.NS,https://www.screener.in/company/TATASTEEL/consolidated/,2026-07-16,Saved Screener.in FII scan,235876.0
40,4,Hindustan Zinc,HINDZINC,Metals & Mining,HINDZINC.NS,https://www.screener.in/company/HINDZINC/consolidated/,2026-07-16,Saved Screener.in FII scan,222759.0
41,121,Hindalco Inds.,HINDALCO,Metals,HINDALCO.NS,https://www.screener.in/company/HINDALCO/consolidated/,2026-07-16,Saved Screener.in FII scan,216048.0
42,192,Grasim Inds,GRASIM,Cement,GRASIM.NS,https://www.screener.in/company/GRASIM/consolidated/,2026-07-16,Saved Screener.in FII scan,211762.0
43,104,Interglobe Aviat,INDIGO,Airlines,INDIGO.NS,https://www.screener.in/company/INDIGO/consolidated/,2026-07-16,Saved Screener.in FII scan,206792.0
44,194,I O C L,IOC,Oil & Gas,IOC.NS,https://www.screener.in/company/IOC/consolidated/,2026-07-16,Saved Screener.in FII scan,196991.0
45,45,Eicher Motors,EICHERMOT,Automobile,EICHERMOT.NS,https://www.screener.in/company/EICHERMOT/consolidated/,2026-07-16,Saved Screener.in FII scan,196321.0
46,99,Wipro,WIPRO,IT,WIPRO.NS,https://www.screener.in/company/WIPRO/consolidated/,2026-07-16,Saved Screener.in FII scan,180083.0
47,168,Adani Energy Sol,ADANIENSOL,Power,ADANIENSOL.NS,https://www.screener.in/company/ADANIENSOL/consolidated/,2026-07-16,Saved Screener.in FII scan,177556.0
48,119,SBI Life Insuran,SBILIFE,Insurance,SBILIFE.NS,https://www.screener.in/company/SBILIFE/consolidated/,2026-09-23,Yahoo Finance,176599.29
49,54,Trent,TRENT,Retail,TRENT.NS,https://www.screener.in/company/TRENT/consolidated/,2026-07-16,Saved Screener.in FII scan,175116.0
50,80,Divi's Lab.,DIVISLAB,Pharmaceuticals,DIVISLAB.NS,https://www.screener.in/company/DIVISLAB/consolidated/,2026-07-16,Saved Screener.in FII scan,174413.0
51,88,Varun Beverages,VBL,Beverages,VBL.NS,https://www.screener.in/company/VBL/consolidated/,2026-07-16,Saved Screener.in FII scan,170688.0
52,117,TVS Motor Co.,TVSMOTOR,Automobile,TVSMOTOR.NS,https://www.screener.in/company/TVSMOTOR/consolidated/,2026-07-16,Saved Screener.in FII scan,165886.0
53,30,Solar Industries,SOLARINDS,Chemicals,SOLARINDS.NS,https://www.screener.in/company/SOLARINDS/consolidated/,2026-07-16,Saved Screener.in FII scan,165816.0
54,362,ICICI Prudential Asset Management Company Ltd.,ICICIAMC,Financial Services,ICICIAMC.NS,https://www.screener.in/company/ICICIAMC/consolidated/,2026-07-16,Saved Screener.in FII scan,161899.0
55,44,Pidilite Inds.,PIDILITIND,Chemicals,PIDILITIND.NS,https://www.screener.in/company/PIDILITIND/consolidated/,2026-07-16,Saved Screener.in FII scan,161791.0
56,16,BSE,BSE,Financial Services,BSE.NS,https://www.screener.in/company/BSE/consolidated/,2026-07-16,Saved Screener.in FII scan,159172.0
57,135,Samvardh. Mothe.,MOTHERSON,Auto Ancillaries,MOTHERSON.NS,https://www.screener.in/company/MOTHERSON/consolidated/,2026-07-16,Saved Screener.in FII scan,158633.0
58,55,Torrent Pharma.,TORNTPHARM,Pharmaceuticals,TORNTPHARM.NS,https://www.screener.in/company/TORNTPHARM/consolidated/,2026-07-16,Saved Screener.in FII scan,157602.0
59,478,Tata Motors Ltd.,TMCV,Capital Goods,TMCV.NS,https://www.screener.in/company/TMCV/consolidated/,2026-07-16,Saved Screener.in FII scan,157456.0
60,230,Vodafone Idea,IDEA,Telecom,IDEA.NS,https://www.screener.in/company/IDEA/consolidated/,2026-07-16,Saved Screener.in FII scan,156772.0
61,229,Jio Financial,JIOFIN,Financial Services,JIOFIN.NS,https://www.screener.in/company/JIOFIN/consolidated/,2026-07-16,Saved Screener.in FII scan,156759.0
62,34,Cummins India,CUMMINSIND,Capital Goods,CUMMINSIND.NS,https://www.screener.in/company/CUMMINSIND/consolidated/,2026-07-16,Saved Screener.in FII scan,156341.0
63,11,Hyundai Motor I,HYUNDAI,Automobile,HYUNDAI.NS,https://www.screener.in/company/HYUNDAI/consolidated/,2026-07-16,Saved Screener.in FII scan,156154.0
64,162,Cholaman.Inv.&Fn,CHOLAFIN,Financial Services,CHOLAFIN.NS,https://www.screener.in/company/CHOLAFIN/consolidated/,2026-07-16,Saved Screener.in FII scan,153142.0
65,206,DLF,DLF,Real Estate,DLF.NS,https://www.screener.in/company/DLF/consolidated/,2026-07-16,Saved Screener.in FII scan,152850.0
66,182,Tata Capital,TATACAP,Financial Services,TATACAP.NS,https://www.screener.in/company/TATACAP/consolidated/,2026-07-16,Saved Screener.in FII scan,151966.0
67,31,CG Power & Ind,CGPOWER,Capital Goods,CGPOWER.NS,https://www.screener.in/company/CGPOWER/consolidated/,2026-07-16,Saved Screener.in FII scan,150600.0
68,46,Polycab India,POLYCAB,Capital Goods,POLYCAB.NS,https://www.screener.in/company/POLYCAB/consolidated/,2026-07-16,Saved Screener.in FII scan,149942.0
69,43,A B B,ABB,Capital Goods,ABB.NS,https://www.screener.in/company/ABB/consolidated/,2026-07-16,Saved Screener.in FII scan,149895.0
70,225,B H E L,BHEL,Capital Goods,BHEL.NS,https://www.screener.in/company/BHEL/consolidated/,2026-07-16,Saved Screener.in FII scan,145672.0
