Ticker,Name,Industry,Nifty 500,Nifty MidSmallcap 400,Nifty Smallcap 250,Nifty Midcap 150
SHRIRAMFIN,Shriram Finance,Financial Services,True,False,False,False
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,True,True,True,False
SIEMENS,Siemens,Capital Goods,True,False,False,False
SIGNATURE,Signatureglobal (India) Ltd.,Realty,True,True,True,False
SJVN,SJVN Ltd.,Power,True,True,False,True
SOBHA,Sobha Ltd.,Realty,True,True,True,False
SOLARINDS,Solar Industries,Chemicals,True,False,False,False
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,True,True,True,False
SONATSOFTW,Sonata Software Ltd.,Information Technology,True,True,True,False
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,True,True,True,False
SRF,SRF,Chemicals,True,True,False,True
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,True,True,True,False
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,True,True,True,False
SUNDARMFIN,Sundaram Finance,Financial Services,True,True,False,True
SUNPHARMA,Sun Pharma.Inds.,Pharmaceuticals,True,False,False,False
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,True,True,True,False
SUPREMEIND,Supreme Inds.,Plastics,True,True,False,True
SUZLON,Suzlon Energy,Renewable Energy,True,True,False,True
SWANCORP,Swan Corp Ltd.,Chemicals,True,True,True,False
SWIGGY,Swiggy,Services,True,True,False,True
SYNGENE,Syngene International Ltd.,Healthcare,True,True,True,False
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,True,True,True,False
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,True,True,True,False
TATACAP,Tata Capital,Financial Services,True,False,False,False
TATACHEM,Tata Chemicals Ltd.,Chemicals,True,True,True,False
TATACOMM,Tata Comm,Telecom,True,True,False,True
TATACONSUM,Tata Consumer,FMCG,True,False,False,False
TATAELXSI,Tata Elxsi Ltd.,Information Technology,True,True,False,True
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,True,True,False,True
TATAPOWER,Tata Power Co.,Power,True,False,False,False
TATASTEEL,Tata Steel,Metals,True,False,False,False
TATATECH,Tata Technologies Ltd.,Information Technology,True,True,True,False
TBOTEK,TBO Tek Ltd.,Consumer Services,True,True,True,False
TCS,TCS,IT,True,False,False,False
TECHM,Tech Mahindra,IT,True,False,False,False
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,True,True,True,False
TEGA,Tega Industries Ltd.,Capital Goods,True,True,True,False
TEJASNET,Tejas Networks Ltd.,Telecommunication,True,True,True,False
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,True,True,True,False
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,True,True,True,False
THERMAX,Thermax,Capital Goods,True,True,False,True
TIINDIA,Tube Investments,Auto Ancillaries,True,True,False,True
TIMKEN,Timken India Ltd.,Capital Goods,True,True,True,False
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,True,True,True,False
TITAN,Titan Company,Consumer Durables,True,False,False,False
TMCV,Tata Motors Ltd.,Capital Goods,True,False,False,False
TMPV,Tata Motors PVeh,Automobile,True,False,False,False
TORNTPHARM,Torrent Pharma.,Pharmaceuticals,True,False,False,False
TORNTPOWER,Torrent Power,Power,True,True,False,True
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,True,True,True,False
TRENT,Trent,Retail,True,False,False,False
TRIDENT,Trident Ltd.,Textiles,True,True,True,False
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,True,True,True,False
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,True,True,True,False
TVSMOTOR,TVS Motor Co.,Automobile,True,False,False,False
UBL,United Breweries,Beverages,True,True,False,True
UCOBANK,UCO Bank,Financial Services,True,True,True,False
ULTRACEMCO,UltraTech Cem.,Cement,True,False,False,False
UNIONBANK,Union Bank (I),Banks,True,False,False,False
UNITDSPR,United Spirits,Beverages,True,False,False,False
UNOMINDA,Uno Minda,Auto Ancillaries,True,True,False,True
UPL,UPL,Chemicals,True,True,False,True
URBANCO,Urban Company Ltd.,Consumer Services,True,True,True,False
USHAMART,Usha Martin Ltd.,Capital Goods,True,True,True,False
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,True,True,True,False
VBL,Varun Beverages,Beverages,True,False,False,False
VEDL,Vedanta,Metals,True,False,False,False
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,True,True,True,False
VMM,Vishal Mega Mart,,True,True,False,True
VOLTAS,Voltas,Consumer Durables,True,True,False,True
VTL,Vardhman Textiles Ltd.,Textiles,True,True,True,False
WAAREEENER,Waaree Energies,Renewable Energy,True,True,False,True
WELCORP,Welspun Corp Ltd.,Capital Goods,True,True,True,False
WELSPUNLIV,Welspun Living Ltd.,Textiles,True,True,True,False
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,True,True,True,False
WIPRO,Wipro,IT,True,False,False,False
WOCKPHARMA,Wockhardt Ltd.,Healthcare,True,True,True,False
YESBANK,Yes Bank,Banks,True,True,False,True
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,True,True,True,False
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,True,True,True,False
ZENTEC,Zen Technologies Ltd.,Capital Goods,True,True,True,False
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,True,True,True,False
ZYDUSLIFE,Zydus Lifesci.,Pharmaceuticals,True,False,False,False
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,True,True,True,False
